,MOM_21,MOM_63,MOM_252,VALUE_PE,QUALITY_TURN,QUALITY_ROE,RSI_14,MACD,BOLL_20,ATR_14,VOL_21,VOL_63,VOL_252,REV_1,REV_5,REV_21,SIZE
MOM_21,1.0,0.6023892249081351,0.27334569020788474,-0.1253515807857247,0.19343201127798101,0.027739654113417285,0.7039016482888442,0.17496003119636028,0.6676086818537582,,0.1428292454009253,0.13213523149218154,0.1372952184461864,-0.21190817201121656,-0.4652062440255024,-0.9756911964153003,0.16764934112194926
MOM_63,0.6023892249081351,1.0,0.450005658698548,-0.19629252966620983,0.22431247476803298,0.05232909888989065,0.40971285160168586,0.0016110142204031693,0.3750730687518341,,0.18879509517246446,0.2268223580231021,0.2375478365478924,-0.12218672832509864,-0.27078010117773343,-0.5881330994545968,0.2195485691121037
MOM_252,0.27334569020788474,0.450005658698548,1.0,-0.26870090225691756,0.18244209827721627,0.1904106282696655,0.20694701296635193,0.002309300926706097,0.1813718519682149,,0.13630256838037158,0.18179682881089093,0.336983764102751,-0.06573097904414732,-0.13839509074803072,-0.26793562127733,0.2635348595166941
VALUE_PE,-0.1253515807857247,-0.19629252966620983,-0.2687009022569175,1.0,-0.26883942979099623,0.10126825644563547,-0.11716048621613068,-0.0010565475655815106,-0.10122625020809814,,-0.25555008305979626,-0.3207113197678505,-0.4887914370776792,0.02982758746211237,0.06140223823172321,0.12281083527125158,-0.25117810558570586
QUALITY_TURN,0.19343201127798104,0.224312474768033,0.18244209827721625,-0.2688394297909962,1.0,-0.2353894965336115,0.1241493038430185,0.0020376189928939274,0.1387974867031298,,0.36173231340769685,0.3595905201592774,0.43436130692376324,-0.09034995092203556,-0.1217244123139851,-0.18889999385606737,0.40235224633414024
QUALITY_ROE,0.02773965411341729,0.05232909888989066,0.1904106282696655,0.10126825644563547,-0.2353894965336115,1.0,0.0514460578889737,-0.0006165415119713565,0.036113607404058876,,0.025010781804777792,0.008128308028427947,-0.005151323866860368,-0.005986511649572712,-0.01287263410587308,-0.02728726570261528,0.3597888140995822
RSI_14,0.7039016482888442,0.4097128516016859,0.20694701296635193,-0.11716048621613068,0.1241493038430185,0.0514460578889737,1.0,0.27262599922346975,0.8554771204374286,,0.12024432681188982,0.1062064513492644,0.09662156369308365,-0.24733732538523368,-0.551341648553368,-0.7212579988923858,0.1478059525209418
MACD,0.1749600311963603,0.0016110142204031695,0.002309300926706097,-0.0010565475655815106,0.0020376189928939274,-0.0006165415119713564,0.2726259992234697,1.0,0.2798062680670423,,0.008688535179764785,0.0164254278075367,-0.004388060430775123,-0.06506910602067285,-0.24327855776208263,-0.1867721820852761,0.0016445940581939677
BOLL_20,0.6676086818537583,0.3750730687518341,0.18137185196821493,-0.10122625020809815,0.1387974867031298,0.036113607404058876,0.8554771204374287,0.2798062680670423,1.0,,0.10610548645921543,0.09788325307443449,0.08343218254113514,-0.4185212698614575,-0.7429127525495006,-0.6832258270195363,0.14669337292591042
ATR_14,,,,,,,,,,1.0,,,,,,,
VOL_21,0.14282924540092526,0.18879509517246446,0.13630256838037158,-0.25555008305979626,0.36173231340769685,0.025010781804777792,0.1202443268118898,0.008688535179764785,0.10610548645921543,,1.0,0.8195311517955792,0.5609837106040166,-0.03897395295328197,-0.07050010933212014,-0.14138387776652978,0.16171170899669257
VOL_63,0.1321352314921815,0.2268223580231021,0.18179682881089093,-0.3207113197678505,0.3595905201592774,0.008128308028427947,0.10620645134926442,0.016425427807536697,0.09788325307443449,,0.8195311517955792,1.0,0.7191140667410661,-0.03341075234307519,-0.0627239945297129,-0.12857212503162097,0.13942210203805944
VOL_252,0.1372952184461864,0.2375478365478924,0.336983764102751,-0.4887914370776792,0.4343613069237632,-0.005151323866860368,0.09662156369308364,-0.004388060430775122,0.08343218254113514,,0.5609837106040166,0.7191140667410661,1.0,-0.03024596451518714,-0.06173421587604161,-0.1340906433616617,0.17884193249395136
REV_1,-0.2119081720112166,-0.12218672832509865,-0.06573097904414732,0.029827587462112365,-0.09034995092203556,-0.005986511649572713,-0.24733732538523368,-0.06506910602067287,-0.4185212698614575,,-0.03897395295328197,-0.03341075234307518,-0.03024596451518714,1.0,0.4308032091642709,0.21704028069884446,-0.07082470923318016
REV_5,-0.46520624402550237,-0.27078010117773343,-0.1383950907480307,0.0614022382317232,-0.12172441231398509,-0.01287263410587308,-0.551341648553368,-0.2432785577620826,-0.7429127525495007,,-0.07050010933212014,-0.0627239945297129,-0.06173421587604161,0.4308032091642709,1.0,0.472379071933411,-0.09833908556112328
REV_21,-0.9756911964153004,-0.5881330994545968,-0.26793562127733,0.12281083527125158,-0.18889999385606737,-0.027287265702615283,-0.721257998892386,-0.18677218208527613,-0.6832258270195363,,-0.14138387776652978,-0.128572125031621,-0.1340906433616617,0.21704028069884448,0.472379071933411,1.0,-0.1633424360657522
SIZE,0.16764934112194926,0.2195485691121037,0.26353485951669414,-0.25117810558570586,0.4023522463341402,0.3597888140995822,0.14780595252094184,0.0016445940581939675,0.14669337292591042,,0.1617117089966926,0.13942210203805944,0.17884193249395136,-0.07082470923318014,-0.09833908556112328,-0.16334243606575222,1.0
