,sharpe_ratio,sortino_ratio,max_drawdown,var_95,cvar_95,downside_volatility
MOM_21,0.37702898000211227,0.6075609780317555,-0.9999976051614358,-0.1224731857799468,-0.15483463216001098,0.7289077811920135
MOM_63,0.419311141154068,0.658283455432897,-0.9999996292311267,-0.11768517085402543,-0.1600801595335703,0.7534792911457193
MOM_252,1.6623660230748485,2.71924963357297,-0.9999999356506337,-0.1232628940481939,-0.1510791300747971,0.7463100902052754
VALUE_PE,-2.449647304735368,-3.048155945870993,-0.9999999998355189,-0.14110423779684894,-0.20154899624702516,0.9207705113710788
QUALITY_TURN,1.2820790962428437,2.623436041031846,-0.9950699626404571,-0.08467876931723214,-0.10368443178934078,0.46767934654077853
QUALITY_ROE,0.4071310773728986,0.6062972077481772,-0.9999990196811752,-0.10949085134444933,-0.16148097012355775,0.767751988027467
RSI_14,0.9430878641691639,1.5682224017531239,-0.9999840430046917,-0.12185228732289455,-0.1494056540698196,0.7125340062876179
MACD,1.1412327952395604,1.9326155829430347,-0.9934524221074652,-0.11554294700969692,-0.15566719850909858,0.7178013398446611
BOLL_20,-0.10235799832459086,-0.16697364633191858,-0.9999758074665296,-0.11328618242253667,-0.142962375658323,0.6777227088922005
VOL_21,3.7650085259375308,7.7221136994125015,-0.9976871386510434,-0.08569336149358635,-0.11941475303843664,0.5663321491543163
VOL_63,4.014535758866943,8.841726521491346,-0.9960538184621404,-0.09282259684005977,-0.12229072219391635,0.5720825289640863
VOL_252,4.2807058334549914,10.585719324894956,-0.9984924922610324,-0.07676286632382825,-0.0990803168242595,0.46295991960914334
REV_1,0.3085006812361975,0.5026658519623842,-0.984476938592802,-0.1120150141232488,-0.15051380147572474,0.697888101671954
REV_5,-0.6668288803860236,-1.0402406131479995,-0.9999501952022879,-0.11418450016224557,-0.1533717179970896,0.7117297235794179
REV_21,-0.4573992711750097,-0.7734989655077505,-0.9999998726114547,-0.12006775839424229,-0.15779463219958687,0.7080936574575205
SIZE,-1.5167372099892575,-2.4226529068489526,-0.9999983467846969,-0.09954936136182083,-0.1300084767411186,0.5861925074602828
